time_merge_log,odom_pos_x,odom_pos_y,odom_pos_z,odom_ori_x,odom_ori_y,odom_ori_z,odom_ori_w,odom_linear_x,odom_linear_y,odom_linear_z,odom_angular_x,odom_angular_y,odom_angular_z,odom_jarak_cm,odom_heading_deg,odom_timestamp,loadcell_berat_kg,loadcell_timestamp,interval_s,elapsed_time_s
1753887455.0630376,3.4401292315180303,-0.20536257880646022,0.0,0.0,0.0,0.9846259389686608,0.1746761583905576,0.046539738756678585,0.0,0.0,0.0,0.0,0.31026492504450326,344.63,159.88037383177618,1753887455.0583534,30.079999923706055,1753887454.9799335,0.04963994026184082,17.552886247634888
1753887455.1231506,3.438305423446625,-0.20470778159144729,0.0,0.0,0.0,0.9857336846599559,0.1683125156567588,0.04914535476819986,0.0,0.0,0.0,0.0,0.32763569845464513,344.44,160.62056074766392,1753887455.0957236,30.079999923706055,1753887454.9799335,0.060112953186035156,17.612999200820923
1753887455.1629682,3.435863282309155,-0.20386423287338312,0.0,0.0,0.0,0.9868003025360703,0.16194185041155984,0.04394091310362373,0.0,0.0,0.0,0.0,0.25788391156929474,344.19,161.36074766355182,1753887455.1585445,30.079999923706055,1753887454.9799335,0.03981757164001465,17.652816772460938
1753887455.2133305,3.434026451599548,-0.20324687145279416,0.0,0.0,0.0,0.9871466945723575,0.15981678070487093,0.04670997054466842,0.0,0.0,0.0,0.0,0.20655484343995328,344.0,161.6074766355144,1753887455.1957836,30.079999923706055,1753887454.9799335,0.050362348556518555,17.703179121017456
1753887455.2630773,3.431571429513439,-0.2024415423660888,0.0,0.0,0.0,0.9878257480944537,0.15556442845854268,0.04388900119971499,0.0,0.0,0.0,0.0,0.15451748394200407,343.75,162.1009345794397,1753887455.2588868,30.079999923706055,1753887454.9799335,0.04974675178527832,17.752925872802734
1753887455.313455,3.4306484672183655,-0.20214673868145705,0.0,0.0,0.0,0.9883230178171201,0.15237326685761032,0.038809869608308914,0.0,0.0,0.0,0.0,0.15582131660244566,343.66,162.47102803738358,1753887455.2957065,30.079999923706055,1753887454.9799335,0.050377845764160156,17.803303718566895
1753887455.366475,3.429106026951461,-0.20166866704522549,0.0,0.0,0.0,0.98912888931014,0.14705114869353705,0.02594841427706803,0.0,0.0,0.0,0.0,0.17298942851376617,343.5,163.08785046729017,1753887455.3582463,30.079999923706055,1753887454.9799335,0.05302000045776367,17.856323719024658
1753887455.4133005,3.4281781238514335,-0.2013898042697251,0.0,0.0,0.0,0.9895986571600188,0.1438558227778336,0.025810559575797594,0.0,0.0,0.0,0.0,0.17207039717196326,343.41,163.45794392523405,1753887455.3957522,30.079999923706055,1753887454.9799335,0.046825408935546875,17.903149127960205
1753887455.4674613,3.426628063496293,-0.2009370343733554,0.0,0.0,0.0,0.9900581027145756,0.14065899633231704,0.025808479730914425,0.0,0.0,0.0,0.0,0.13782487305775443,343.25,163.82803738317807,1753887455.4582672,30.09000015258789,1753887455.4289527,0.05416083335876465,17.95730996131897
1753887455.513427,3.426007302701463,-0.20075846412068749,0.0,0.0,0.0,0.9903586627713946,0.13852696154054298,0.023206487873771643,0.0,0.0,0.0,0.0,0.12047826067680256,343.19,164.07476635514064,1753887455.4957423,30.09000015258789,1753887455.4289527,0.04596567153930664,18.003275632858276
