time,range_0,range_90,range_180,range_270,range_360,
1750668961.80671,inf,0.243750005960464,0.792999982833862,0.501999974250793,,
1750668962.33944,inf,0.242750003933907,0.796249985694885,0.502749979496002,,
1750668962.91698,1.46399998664856,inf,0.795750021934509,0.501749992370606,,
1750668963.44985,inf,0.246749997138977,0.795750021934509,0.502250015735626,,
1750668963.84979,inf,0.246749997138977,0.795499980449677,0.502250015735626,,
1750668964.42697,inf,inf,0.794749975204468,0.502499997615814,,
1750668964.87149,inf,inf,0.792500019073486,0.501999974250793,,
1750668965.44862,inf,0.245749995112419,0.796500027179718,0.503499984741211,,
1750668965.89346,inf,0.246250003576279,0.795000016689301,0.502499997615814,,
1750668966.38173,inf,0.246749997138977,0.794000029563904,0.501999974250793,,
1750668966.95899,inf,0.246749997138977,0.793749988079071,0.501999974250793,,
1750668967.53652,inf,inf,0.792249977588654,0.501500010490418,,
1750668968.11352,inf,inf,0.798250019550324,0.503000020980835,,
1750668968.60273,inf,inf,0.794250011444092,0.502250015735626,,
1750668969.13539,inf,0.248750001192093,0.797249972820282,0.503499984741211,,
1750668969.62396,inf,inf,0.794250011444092,0.501999974250793,,
1750668970.15796,inf,inf,0.79449999332428,0.501999974250793,,
1750668970.55706,inf,0.248500004410744,0.795499980449677,0.502250015735626,,
1750668971.09004,inf,inf,0.797749996185303,0.503000020980835,,
1750668971.40231,inf,inf,0.798749983310699,0.502499997615814,,
1750668971.97899,inf,inf,0.79925000667572,0.503250002861023,,
1750668972.55618,inf,inf,0.79925000667572,0.503250002861023,,
1750668973.13392,inf,inf,0.79449999332428,0.502250015735626,,
1750668973.66641,inf,0.246500000357628,0.792500019073486,0.50475001335144,,
1750668974.24377,inf,0.25,0.798250019550324,0.502749979496002,,
1750668974.77773,inf,0.248750001192093,0.796249985694885,0.502250015735626,,
1750668975.22157,inf,inf,0.793749988079071,0.501749992370606,,
1750668975.62097,inf,inf,0.800000011920929,0.504999995231628,,
1750668976.10978,inf,inf,0.79925000667572,0.503000020980835,,
1750668976.55429,inf,inf,0.798250019550324,0.503000020980835,,
1750668977.04255,inf,inf,0.796249985694885,0.502250015735626,,
1750668977.53183,inf,inf,0.79449999332428,0.502499997615814,,
1750668978.06439,inf,inf,0.794749975204468,0.50424998998642,,
1750668978.64196,inf,0.247250005602837,0.79449999332428,0.502250015735626,,
1750668979.21906,inf,inf,0.796999990940094,0.503499984741211,,
1750668979.70733,inf,inf,0.796249985694885,0.503250002861023,,
1750668980.24114,inf,inf,0.798250019550324,0.504999995231628,,
1750668980.81777,inf,inf,0.794250011444092,0.501999974250793,,
1750668981.39593,inf,inf,0.793749988079071,0.504000008106232,,
1750668981.88476,inf,0.241500005125999,0.791999995708466,0.504499971866608,,
1750668982.46229,inf,inf,0.79449999332428,0.502250015735626,,
1750668982.99512,inf,0.241999998688698,0.792500019073486,0.50475001335144,,
1750668983.52815,inf,inf,0.797999978065491,0.502749979496002,,
1750668984.10507,inf,inf,0.800000011920929,0.50475001335144,,
1750668984.6381,inf,inf,0.794250011444092,0.502250015735626,,
1750668985.21613,inf,inf,0.794250011444092,0.502250015735626,,
1750668985.79371,inf,inf,0.793250024318695,0.503750026226044,,
1750668986.32645,inf,inf,0.800000011920929,0.503250002861023,,
1750668986.77092,inf,0.240749999880791,0.793500006198883,0.503750026226044,,
1750668987.34833,inf,inf,0.794000029563904,0.502499997615814,,
1750668987.88117,inf,inf,0.793749988079071,0.501999974250793,,
1750668988.28115,inf,0.24549999833107,0.796249985694885,0.502499997615814,,
